benchmark,run,result
ray-sphere-intersection,baseline,142
ray-sphere-intersection,myopt,142
conjugate-gradient,baseline,1999
conjugate-gradient,myopt,timeout
n_root,baseline,733
n_root,myopt,733
newton,baseline,217
newton,myopt,217
euler,baseline,1908
euler,myopt,1890
riemann,baseline,298
riemann,myopt,291
mandelbrot,baseline,2720947
mandelbrot,myopt,2717868
norm,baseline,505
norm,myopt,timeout
cordic,baseline,517
cordic,myopt,timeout
pow,baseline,36
pow,myopt,35
sqrt,baseline,322
sqrt,myopt,306
